"Country";"Operator Name";"MCC";"MNC";"Price(EUR)";"Details"
"Mauritania";"Chinguitel";"609";"2";"0.0060";"Dynamic Alphanumeric"
"Mauritania";"Mattel";"609";"1";"0.0390";"Dynamic Alphanumeric"
"Mauritania";"Mauritel Mobiles";"609";"10";"0.0200";"Dynamic Alphanumeric"
"Mauritius";"CHiLi Mauritius (MTML)";"617";"2 3";"0.0095";"Dynamic Alphanumeric"
"Mauritius";"Emtel Mauritius";"617";"10";"0.0030";"Dynamic Alphanumeric"
"Mauritius";"Orange Mauritius (Cellplus)";"617";"1";"0.0340";"Dynamic Alphanumeric"
"Mexico";"AT&T Mexico";"334";"4 40 70 80 90 50";"0.0051";"Dynamic Alphanumeric"
"Mexico";"AT&T Mexico (ex-Nextel)";"334";"1 10";"0.0051";"Dynamic Alphanumeric"
"Mexico";"Movistar Mexico";"334";"3 30";"0.0095";"Dynamic Alphanumeric"
"Mexico";"Telcel Mexico";"334";"2 20";"0.0120";"Direct Connection"
"Micronesia, Federated States of";"FSM Telecom";"550";"1";"0.0040";"Dynamic Alphanumeric"
"Moldova";"MoldCell";"259";"2";"0.0065";"Numeric Sender"
"Moldova";"Orange Moldova";"259";"1";"0.0054";"Dynamic Alphanumeric"
"Moldova";"Unite - IDC ";"259";"3 5";"0.0060";"Dynamic Alphanumeric"
"Monaco";"Monaco Telecom";"212";"1 10";"0.0350";"Alpha Senders are being replaced"
"Mongolia";"G Mobile";"428";"98 6";"0.0350";"Dynamic Alphanumeric"
"Mongolia";"MobiCom Mongolia";"428";"99";"0.0540";"Dynamic Alphanumeric"
"Mongolia";"Skytel Mongolia";"428";"91 1";"0.0045";"Random Numeric Sender"
"Mongolia";"Unitel Mongolia";"428";"88";"0.0045";"Random Numeric Sender"
"Montenegro";"MTEL";"297";"3";"0.0060";"Dynamic Alphanumeric"
"Montenegro";"Telekom Montenegro";"297";"2 4";"0.0060";"Random Numeric Sender"
"Montenegro";"Telenor Montenegro";"297";"1";"0.0060";"Random Numeric Sender"
"Montserrat";"Flow Montserrat";"354";"860";"0.0120";"Dynamic Alphanumeric"
"Morocco";"IAM";"604";"1";"0.0049";"Dynamic Alphanumeric"
"Morocco";"Orange Morocco (ex-Meditel)";"604";"0";"0.0059";"Senders change to Info"
"Morocco";"WANA";"604";"2 3";"0.0060";"Alpha change to INFO"
"Mozambique";"Mcel Mozambique";"643";"1";"0.0045";"Dynamic Alphanumeric"
"Mozambique";"Movitel Mozambique";"643";"3";"0.0030";"Random Numeric Sender"
"Mozambique";"Vodacom Mozambique";"643";"4";"0.0054";"Dynamic Alphanumeric"
"Myanmar";"MPT (Myanmar Post and Telecommunication)";"414";"1 0 2 4";"0.0110";"Dynamic Alphanumeric"
"Myanmar";"Ooredoo Myanmar";"414";"5";"0.0110";"Dynamic Alphanumeric"
"Myanmar";"Telenor Myanmar";"414";"6";"0.0190";"Senders change to InfoSMS"
"Namibia";"MTC Namibia";"649";"1";"0.0045";"Random Numeric Sender"
"Namibia";"TN Mobile Namibia (ex-Cell One)";"649";"3";"0.0040";"Dynamic Alphanumeric"
"Nepal";"Ncell Nepal";"429";"2";"0.0065";"Dynamic Alphanumeric"
"Nepal";"Nepal Telecom (NTC)";"429";"1";"0.0745";"Dynamic Alphanumeric"
"Netherlands";"Blyk Netherlands";"204";"3";"0.0165";"Dynamic Alphanumeric"
"Netherlands";"KPN Netherlands";"204";"8 10 60 69";"0.0165";"Dynamic Alphanumeric"
"Netherlands";"Lycamobile Netherlands";"204";"9";"0.0100";"Dynamic Alphanumeric"
"Netherlands";"Orange Netherlands";"204";"20";"0.0545";"Dynamic Alphanumeric"
"Netherlands";"Tele2 Netherlands";"204";"2";"0.0060";"Random Numeric Sender"
"Netherlands";"Telfort";"204";"12 18";"0.0120";"Dynamic Alphanumeric"
"Netherlands";"Vodafone Netherlands";"204";"4 44";"0.0165";"Dynamic Alphanumeric"
"Netherlands Antilles";"Digicel Netherlands Antilles";"362";"69 50";"0.0170";"Dynamic Alphanumeric"
"Netherlands Antilles";"Telcell Netherlands Antilles";"362";"51";"0.0050";"Dynamic Alphanumeric"
"Netherlands Antilles";"UTS Wireless Curacao Netherlands Antilles";"362";"91 951";"0.0060";"Dynamic Alphanumeric"
"New Caledonia";"Mobilis New Caledonia";"546";"1";"0.0490";"Dynamic Alphanumeric"
"New Zealand";"Spark New Zealand (ex-Telecom)";"530";"5 0 2 6";"0.0056";"Shortcode sender"
"New Zealand";"Two Degrees Mobile";"530";"24";"0.0085";"Dynamic Alphanumeric"
"New Zealand";"Vodafone New Zealand";"530";"1 4 3";"0.0250";"Dynamic Alphanumeric"
"Nicaragua";"Claro Nicaraqua";"710";"21";"0.0205";"Alpha Sender Only"
"Nicaragua";"Telefonica Movil Nicaragua (Movistar)";"710";"300 30";"0.0060";"Dynamic Alphanumeric"
"Niger";"Airtel Niger";"614";"2";"0.0047";"Dynamic Alphanumeric"
"Niger";"Moov Niger";"614";"3";"0.0110";"Dynamic Alphanumeric"
"Niger";"Niger Telecoms";"614";"1";"0.0115";"Dynamic Alphanumeric"
"Niger";"Orange Niger";"614";"4";"0.0270";"Dynamic Alphanumeric"
"Nigeria";"9mobile (ex-Etisalat) Nigeria";"621";"60";"0.0061";"Dynamic Alphanumeric"
"Nigeria";"Airtel Nigeria";"621";"20";"0.0100";"Senders are being Replaced"
"Nigeria";"Glo Mobile Nigeria";"621";"50";"0.0065";"Dynamic Alphanumeric"
"Nigeria";"MTN Nigeria";"621";"30";"0.0200";"Dynamic Alphanumeric"
"North Macedonia";"Telekom North Macedonia";"294";"1 70";"0.0115";"Random Numeric Sender"
"North Macedonia";"Vip (ex-one) North Macedonia";"294";"2";"0.0085";"Random Numeric Sender"
"North Macedonia";"Vip North Macedonia";"294";"3";"0.0085";"Random Numeric Sender"
"Norway";"Ice.net Norway";"242";"14 6";"0.0060";"Dynamic Alphanumeric"
"Norway";"Lyca Mobile Norway";"242";"23";"0.0060";"Dynamic Alphanumeric"
"Norway";"TDC Mobile";"242";"8";"0.0060";"Dynamic Alphanumeric"
"Norway";"Telenor Norway";"242";"1 12";"0.0060";"Random Numeric Sender"
"Norway";"Telia Norway";"242";"5";"0.0060";"Random Numeric Sender"
"Norway";"Telia Norway (ex-Netcom)";"242";"2";"0.0060";"Random Numeric Sender"
"Norway";"Telia Norway (ex-tele2)";"242";"4";"0.0060";"Random Numeric Sender"
"Oman";"Omantel Oman";"422";"2";"0.0065";"Random Numeric Sender"
"Oman";"Ooredoo Oman";"422";"3";"0.0050";"Dynamic Alphanumeric"
"Pakistan";"Jazz Pakistan (ex-Mobilink)";"410";"1";"0.0115";"Dynamic Alphanumeric"
"Pakistan";"Jazz Pakistan (ex-Warid)";"410";"7";"0.0115";"Dynamic Alphanumeric"
"Pakistan";"Telenor Pakistan";"410";"6";"0.0046";"Dynamic Alphanumeric"
"Pakistan";"Ufone (Pak Telecom)";"410";"3";"0.0046";"Random Numeric Sender"
"Pakistan";"Zong (Paktel)";"410";"4";"0.0060";"Dynamic Alphanumeric"
"Palau";"Palau Mobile Corporation";"552";"80 2";"0.0165";"Dynamic Alphanumeric"
"Palau";"Palau National Communications Corporation";"552";"1";"0.0018";"Dynamic Alphanumeric"
"Panama";"Cable & Wireless Panama";"714";"1";"0.0050";"Dynamic Alphanumeric"
"Panama";"Claro Panama";"714";"3";"0.0045";"Random Numeric Sender"
"Panama";"Digicel Panama";"714";"4";"0.0055";"Dynamic Alphanumeric"
"Panama";"Movistar Panama";"714";"20 2";"0.0050";"Dynamic Alphanumeric"
"Papua New Guinea";"Bmobile - Vodafone";"537";"1";"0.0020";"Dynamic Alphanumeric"
"Papua New Guinea";"Digicel Papua New Guinea";"537";"3";"0.0060";"Random Numeric Sender"
"Paraguay";"Claro Paraguay";"744";"2";"0.0085";"Dynamic Alphanumeric"
"Paraguay";"Personal Paraguay";"744";"5";"0.0030";"Dynamic Alphanumeric"
"Paraguay";"Tigo Paraguay (Telecel)";"744";"4";"0.0055";"Random Numeric Sender"
"Paraguay";"VOX Paraguay";"744";"1 3";"0.0045";"Random Numeric Sender"
"Peru";"Bitel Peru (Viettel)";"716";"15";"0.0050";"Random Numeric Sender"
"Peru";"Claro Peru (America Movil)";"716";"10 20";"0.0080";"Dynamic Alphanumeric"
"Peru";"Entel (Nextel) Peru";"716";"7 17";"0.0080";"Dynamic Alphanumeric"
"Peru";"Telefonica Movil Peru (Movistar)";"716";"6";"0.0050";"Dynamic Alphanumeric"
"Philippines";"Globe Telecom";"515";"2 1";"0.0020";"Random Numeric Sender"
"Philippines";"SMART Communications";"515";"3 18";"0.0024";"Long Code Sender"
"Philippines";"Sun Cellular";"515";"5";"0.0024";"Long Code Sender"
"Poland";"Lycamobile Poland";"260";"9";"0.0070";"Random Numeric Sender"
"Poland";"Orange Poland (Centertel)";"260";"3 5";"0.0120";"Senders are being Replaced to Info"
"Poland";"P4 (Play)";"260";"6";"0.0070";"Random Numeric Sender"
"Poland";"Polkomtel (PLUS)";"260";"1";"0.0120";"Dynamic Alphanumeric"
"Poland";"T-Mobile Poland (ex-Era)";"260";"2";"0.0070";"Numeric Sender Only"
"Portugal";"LycaMobile Portugal";"268";"4";"0.0070";"Random Numeric Sender"
"Portugal";"MEO Portugal";"268";"6";"0.0145";"Dynamic Alphanumeric"
"Portugal";"NOS (ex-Optimus) Portugal";"268";"3";"0.0070";"Dynamic Alphanumeric"
"Portugal";"Vodafone Portugal";"268";"1";"0.0160";"Dynamic Alphanumeric"
"Puerto Rico";"AT&T Mobility Puerto Rico";"330";"30 38 99 150";"0.0080";"Dynamic Alphanumeric"
"Puerto Rico";"Claro Puerto Rico";"330";"110 12 11";"0.0080";"Dynamic Alphanumeric"
"Puerto Rico";"Open Mobile (PR Wireless)";"330";"0";"0.0080";"Dynamic Alphanumeric"
"Puerto Rico";"Sprint Puerto Rico";"330";"20";"0.0080";"Dynamic Alphanumeric"
"Puerto Rico";"T-Mobile Puerto Rico";"330";"120";"0.0080";"Dynamic Alphanumeric"
"Qatar";" Ooredoo Qatar";"427";"1";"0.0100";"Dynamic Alphanumeric"
"Qatar";"Vodafone Qatar";"427";"2";"0.0100";"Random Numeric Sender"
"Reunion";"Only Reunion (Outremer)";"647";"2";"0.0120";"Dynamic Alphanumeric"
"Reunion";"Orange Reunion";"647";"0";"0.0480";"Dynamic Alphanumeric"
"Reunion";"SFR Reunion";"647";"10";"0.0750";"Dynamic Alphanumeric"
"Romania";"Digi.mobil (RDS)";"226";"5";"0.0115";"Random Local Sender"
"Romania";"Orange Romania";"226";"10";"0.0120";"Dynamic Alphanumeric"
"Romania";"Telekom Romania (Cosmote)";"226";"3";"0.0100";"Random Local Sender"
"Romania";"Vodafone Romania";"226";"1";"0.0090";"Random Local Sender"
"Russian Federation";"Baykalwestcom";"250";"12 98";"0.0054";"Dynamic Alphanumeric"
"Russian Federation";"Beeline";"250";"99 28 44";"0.0091";"Senders are Being Replaced"
"Russian Federation";"ETK";"250";"5";"0.0054";"Dynamic Alphanumeric"
"Russian Federation";"MegaFon";"250";"2 91";"0.0220";"Dynamic Alphanumeric"
"Russian Federation";"MOTIV";"250";"35";"0.0067";"Dynamic Alphanumeric"
"Russian Federation";"MTS";"250";"1 4 10 13 92 93";"0.0175";"Dynamic Alphanumeric"
"Russian Federation";"NCC";"250";"3";"0.0042";"Dynamic Alphanumeric"
"Russian Federation";"NTC (New Telephone Company)";"250";"16";"0.0044";"Dynamic Alphanumeric"
"Russian Federation";"Rostelecom";"250";"17 39";"0.0057";"Dynamic Alphanumeric"
"Russian Federation";"SMARTS";"250";"7 15";"0.0054";"Dynamic Alphanumeric"
"Russian Federation";"Tambov GSM";"250";"38";"0.0066";"Dynamic Alphanumeric"
"Russian Federation";"Tele2";"250";"20";"0.0090";"Dynamic Alphanumeric"
"Russian Federation";"Yota";"250";"11";"0.0074";"Dynamic Alphanumeric"
"Rwanda";"Airtel";"635";"14";"0.0085";"Dynamic Alphanumeric"
"Rwanda";"MTN Rwanda";"635";"10";"0.0085";"Dynamic Alphanumeric"
"Rwanda";"Tigo";"635";"13";"0.0125";"Dynamic Alphanumeric"
"Saint Kitts and Nevis";"Digicel St.Kitts and Nevis";"356";"50";"0.0265";"Alpha Sender Only"
"Saint Kitts and Nevis";"FLOW St.Kitts and Nevis (LIME - CWC)";"356";"110";"0.0165";"Dynamic Alphanumeric"
"Saint Lucia";"Digicel Saint Lucia";"358";"50";"0.0150";"Dynamic Alphanumeric"
"Saint Lucia";"Flow (C&W) Saint Lucia";"358";"110";"0.0120";"Dynamic Alphanumeric"
"Saint Vincent and the Grenadines";"Digicel Saint Vincent and the Grenadines";"360";"70 50";"0.0045";"Dynamic Alphanumeric"
"Samoa";"Bluesky (SamoaTe)l";"549";"27";"0.0085";"Dynamic Alphanumeric"
"Samoa";"Digicel Samoa";"549";"1";"0.0055";"Dynamic Alphanumeric"
"Sao Tome and Principe";"CSTmovel";"626";"1";"0.0085";"Dynamic Alphanumeric"
"Sao Tome and Principe";"Unitel Sao Tome & Principe";"626";"2";"0.0160";"Dynamic Alphanumeric"
"Saudi Arabia";"Lebara Saudi Arabia";"420";"6";"0.0070";"Dynamic Alphanumeric"
"Saudi Arabia";"Mobily (Etisalat Saudi Arabia)";"420";"3";"0.0086";"Dynamic Alphanumeric"
"Saudi Arabia";"STC (Al Jawal)";"420";"1";"0.0072";"Random Numeric Sender"
"Saudi Arabia";"Virgin Mobile Saudi Arabia";"420";"5";"0.0072";"Random Numeric Sender"
"Saudi Arabia";"Zain Saudi Arabia";"420";"4";"0.0086";"Dynamic Alphanumeric"
"Senegal";"Expresso";"608";"3";"0.0150";"Random Local Sender"
"Senegal";"Orange Senegal (Sonatel)";"608";"1";"0.0150";"Dynamic Alphanumeric"
"Senegal";"Tigo Senegal (Sentel)";"608";"2";"0.0052";"Dynamic Alphanumeric"
"Serbia";"mts Serbia";"220";"3";"0.0074";"Dynamic Alphanumeric"
"Serbia";"Telenor Serbia";"220";"1 2";"0.0075";"Dynamic Alphanumeric"
"Serbia";"VIP Mobile";"220";"5";"0.0060";"Random Numeric Sender"
"Seychelles";"Airtel Seychelles";"633";"10";"0.0040";"Random Numeric Sender"
"Seychelles";"Cable & Wireless Seychelles";"633";"1";"0.0057";"Dynamic Alphanumeric"
"Sierra Leone";"Africell Sierra Leone";"619";"3 2 5";"0.0040";"Dynamic Alphanumeric"
"Sierra Leone";"Orange Sierra Leone (ex-Airtel)";"619";"1";"0.0060";"Dynamic Alphanumeric"
"Singapore";"M1 (MobileOne)";"525";"3";"0.0055";"Random Numeric Sender"
"Singapore";"SingTel";"525";"1 2 7";"0.0079";"Dynamic Alphanumeric"
"Singapore";"StarHub Mobile";"525";"5 6";"0.0072";"Dynamic Alphanumeric"
"Slovakia";"O2 Slovakia";"231";"6";"0.0325";"Direct Connection"
"Slovakia";"Orange Slovakia";"231";"1 5";"0.0120";"Dynamic Alphanumeric"
"Slovakia";"Slovak Telekom (T-Mobile Slovakia)";"231";"2 4";"0.0255";"Direct Connection  Alpha and Local Numeric Sender Only"
"Slovenia";"A1 Slovenia (ex-Si.mobil)";"293";"40";"0.0070";"Random Numeric Sender"
"Slovenia";"T-2 Slovenia";"293";"64";"0.0070";"Random Numeric Sender"
"Slovenia";"Telekom Slovenia (ex-Mobitel)";"293";"41";"0.0070";"Random Numeric Sender"
"Slovenia";"Telemach Slovenia (ex-Tusmobil)";"293";"70";"0.0070";"Random Numeric Sender"
"Solomon Islands";"Our Telekom - Solomon Telekom Company";"540";"1";"0.0120";"Dynamic Alphanumeric"
"Somalia";"Golis";"637";"30";"0.0500";"Dynamic Alphanumeric"
"Somalia";"Hormuud Telecom";"637";"25 50";"0.0070";"Dynamic Alphanumeric"
"Somalia";"SolTelco";"637";"19";"0.0190";"Dynamic Alphanumeric"
"Somalia";"Somafone";"637";"4";"0.0175";"Dynamic Alphanumeric"
"Somalia";"Telcom Somalia";"637";"82";"0.0080";"Dynamic Alphanumeric"
"Somalia";"Telesom";"637";"1";"0.0095";"Random Numeric Sender"
"South Africa";"8ta (Telkom)";"655";"2";"0.0050";"Numeric Sender Only"
"South Africa";"CELL C South Africa";"655";"7";"0.0050";"Dynamic Alphanumeric"
"South Africa";"MTN South Africa";"655";"10";"0.0060";"Dynamic Alphanumeric"
"South Africa";"Vodacom South Africa";"655";"1";"0.0060";"Random Local Sender"
"South Sudan";"MTN South Sudan";"659";"2";"0.0045";"Dynamic Alphanumeric"
"Spain";"DigiMobil";"214";"22";"0.0165";"Dynamic Alphanumeric"
"Spain";"Eroski Movil";"214";"24";"0.0165";"Dynamic Alphanumeric"
"Spain";"Euskaltel";"214";"8";"0.0165";"Dynamic Alphanumeric"
"Spain";"LycaMobile";"214";"25";"0.0165";"Dynamic Alphanumeric"
"Spain";"Movistar";"214";"7 5";"0.0165";"Dynamic Alphanumeric"
"Spain";"Orange (ex-Jazztel)";"214";"21";"0.0165";"Dynamic Alphanumeric"
"Spain";"Orange Spain";"214";"3 9";"0.0165";"Dynamic Alphanumeric"
"Spain";"Simyo";"214";"19";"0.0165";"Dynamic Alphanumeric"
"Spain";"Tuenti";"214";"32";"0.0165";"Dynamic Alphanumeric"
"Spain";"Vodafone Spain";"214";"1 6";"0.0165";"Dynamic Alphanumeric"
"Spain";"yoigo";"214";"4";"0.0165";"Dynamic Alphanumeric"
"Sri Lanka";"Airtel Sri Lanka";"413";"5";"0.0085";"Random Numeric Sender"
"Sri Lanka";"Dialog Axiata Sri Lanka";"413";"2";"0.0120";"Dynamic Alphanumeric"
"Sri Lanka";"Etisalat Sri Lanka";"413";"3";"0.0065";"Random Numeric Sender"
"Sri Lanka";"Hutch";"413";"8";"0.0075";"Random Numeric Sender"
"Sri Lanka";"Mobitel";"413";"1";"0.0075";"Random Numeric Sender"
"Sudan";"MTN Sudan";"634";"2";"0.0475";"Dynamic Alphanumeric"
"Sudan";"Sudani One";"634";"7";"0.0145";"Dynamic Alphanumeric"
"Sudan";"Zain Sudan";"634";"1";"0.0050";"Random Numeric Sender"
"Suriname";"Digicel Suriname";"746";"3";"0.0060";"Dynamic Alphanumeric"
"Suriname";"Telesur";"746";"2 1";"0.0042";"Dynamic Alphanumeric"
"Sweden";"Lycamobile Sweden";"240";"12";"0.0075";"Dynamic Alphanumeric"
"Sweden";"Tele2 Sweden";"240";"7 5 53";"0.0073";"Random Numeric Sender"
"Sweden";"Telenor Sweden";"240";"8 6 72";"0.0054";"Random Numeric Sender"
"Sweden";"Telia Sweden";"240";"1 13";"0.0075";"Random Numeric Sender"
"Sweden";"Three Sweden";"240";"2 4 11 29";"0.0075";"Dynamic Alphanumeric"
"Switzerland";"Lycamobile Switzerland";"228";"54";"0.0145";"Dynamic Alphanumeric"
"Switzerland";"Salt (Orange Switzerland)";"228";"3";"0.0100";"Dynamic Alphanumeric"
"Switzerland";"Sunrise";"228";"2 12";"0.0089";"Dynamic Alphanumeric"
"Switzerland";"Swisscom Mobile";"228";"1 99";"0.0073";"Dynamic Alphanumeric"
"Switzerland";"UPC Switzerland";"228";"53";"0.0070";"Random Numeric Sender"
"Syrian Arab Republic";"MTN Syria";"417";"2";"0.0430";"96394/96395: Numeric Sender Only"
"Syrian Arab Republic";"Syriatel";"417";"1";"0.0635";"Dynamic Alphanumeric"
"Taiwan";"APTG (Asia Pacific Telecom)";"466";"5";"0.0070";"Random Numeric Sender"
"Taiwan";"Chunghwa Telecom";"466";"92 11";"0.0095";"Random Numeric Sender"
"Taiwan";"Far EasTone";"466";"1 2 3 6 88";"0.0145";"Random Numeric Sender"
"Taiwan";"T Star (ex-VIBO) Taiwan";"466";"89 90";"0.0115";"Dynamic Alphanumeric"
"Taiwan";"Taiwan Mobile";"466";"97 93 99";"0.0070";"Random Numeric Sender"
"Tajikistan";"Babilon Mobile";"436";"4";"0.0515";"Dynamic Alphanumeric"
"Tajikistan";"Beeline";"436";"5";"0.0090";"Senders are being replaced."
"Tajikistan";"Megafon";"436";"3";"0.0050";"Random Numeric Sender"
"Tajikistan";"Tcell";"436";"1 2 12";"0.0355";"Dynamic Alphanumeric"
"Tanzania, United Republic of";"Airtel Tanzania (Zain)";"640";"5";"0.0050";"Dynamic Alphanumeric"
"Tanzania, United Republic of";"Halotel Tanzania";"640";"9";"0.0040";"Random Numeric Sender"
"Tanzania, United Republic of";"Tigo Tanzania (ex-Mic)";"640";"2";"0.0070";"Dynamic Alphanumeric"
"Tanzania, United Republic of";"Vodacom Tanzania";"640";"4";"0.0100";"Senders are being replaced."
"Tanzania, United Republic of";"Zantel";"640";"3";"0.0060";"Dynamic Alphanumeric"
"Thailand";"AIS";"520";"1 23";"0.0045";"Dynamic Alphanumeric"
"Thailand";"AIS 3G";"520";"3";"0.0045";"Dynamic Alphanumeric"
"Thailand";"CAT CDMA";"520";"2";"0.0075";"Dynamic Alphanumeric"
"Thailand";"DTAC";"520";"18 5";"0.0075";"Dynamic Alphanumeric"
"Thailand";"my by CAT";"520";"0";"0.0075";"Dynamic Alphanumeric"
"Thailand";"TOT 3G";"520";"15";"0.0075";"Dynamic Alphanumeric"
"Thailand";"True Move";"520";"99 4";"0.0075";"Dynamic Alphanumeric"
"Timor-Leste";"Telemor Timor Leste";"514";"3";"0.0075";"Random Numeric Sender"
"Timor-Leste";"Telkomcel Timor Leste";"514";"1";"0.0055";"Random Numeric Sender"
"Timor-Leste";"Timor Telecom";"514";"2";"0.0050";"Dynamic Alphanumeric"
"Togo";"Moov Togo";"615";"3 2 5";"0.0205";"Dynamic Alphanumeric"
"Togo";"Togo Cell";"615";"1";"0.0085";"Random Numeric Sender"
"Tonga";"U-Call";"539";"1";"0.0050";"Dynamic Alphanumeric"
"Trinidad and Tobago";"bmobile (Telecommunications Services Trinidad and Tobago - TSTT)";"374";"12 120";"0.0061";"Random Numeric Sender"
"Trinidad and Tobago";"Digicel Trinidad and Tobago";"374";"130 13";"0.0090";"Random Numeric Sender"
"Tunisia";" Ooredoo Tunisia";"605";"3";"0.0070";"Dynamic Alphanumeric"
"Tunisia";"Orange Tunisia";"605";"1";"0.0063";"Dynamic Alphanumeric"
"Tunisia";"Tunisie Telecom";"605";"2";"0.0040";"Dynamic Alphanumeric"
"Turkey";"Turk Telekom (ex-Avea)";"286";"3";"0.0018";"Random Numeric Sender"
"Turkey";"Turk Telekom (ex-Avea)";"286";"4";"0.0021";"Random Numeric Sender"
"Turkey";"Turkcell";"286";"1";"0.0033";"Random Numeric Sender"
"Turkey";"Vodafone Turkey";"286";"2";"0.0021";"Dynamic Alphanumeric"
"Turkmenistan";"TM-Cell (Altyn Asyr)";"438";"2";"0.0035";"Random Numeric Sender"
"Turks and Caicos Islands";"Digicel Turks & Caicos Islands";"376";"50";"0.0135";"Dynamic Alphanumeric"
"Turks and Caicos Islands";"Flow (C&W) Turks & Caicos Islands";"376";"350";"0.0095";"Dynamic Alphanumeric"
"Uganda";"Africell Uganda (Former Orange)";"641";"14";"0.0034";"Dynamic Alphanumeric"
"Uganda";"Airtel Uganda";"641";"1";"0.0570";"Dynamic Alphanumeric"
"Uganda";"Airtel Uganda (Former Warid)";"641";"22";"0.0570";"Dynamic Alphanumeric"
"Uganda";"MTN Uganda";"641";"10";"0.0035";"Dynamic Alphanumeric"
"Uganda";"UTL ( Telecom Limited)";"641";"11";"0.0410";"Dynamic Alphanumeric"
"Ukraine";"3Mob";"255";"7";"0.0075";"Dynamic Alphanumeric"
"Ukraine";"Golden Telecom Ukraine";"255";"5 39";"0.0085";"Dynamic Alphanumeric"
"Ukraine";"Kyivstar Ukraine";"255";"3 67";"0.0055";"Dynamic Alphanumeric"
"Ukraine";"Kyivstar Ukraine (Beeline)";"255";"2 68";"0.0052";"Dynamic Alphanumeric"
"Ukraine";"Lifecell Ukraine";"255";"6";"0.0075";"Dynamic Alphanumeric"
"Ukraine";"PEOPLEnet Ukraine";"255";"21";"0.0040";"Dynamic Alphanumeric"
"Ukraine";"Vodafone Ukraine (MTS)";"255";"1 50";"0.0050";"Random Numeric Sender"
"United Arab Emirates";"du";"424";"3";"0.0047";"Dynamic Alphanumeric"
"United Arab Emirates";"Etisalat United Arab Emirates";"424";"2 1";"0.0035";"Random Numeric Sender"
"United Kingdom";"BT";"234";"0 76 77";"0.0140";"Dynamic Alphanumeric"
"United Kingdom";"EE (ex-Orange) UK";"234";"33 34 53";"0.0100";"Random Numeric Sender"
"United Kingdom";"EE (ex-TMobile) UK";"234";"30 31 32";"0.0100";"Random Numeric Sender"
"United Kingdom";"Jersey Airtel";"234";"3";"0.0140";"Dynamic Alphanumeric"
"United Kingdom";"Jersey Telecom";"234";"50 992";"0.0115";"Dynamic Alphanumeric"
"United Kingdom";"Lycamobile UK";"234";"26";"0.0075";"Dynamic Alphanumeric"
"United Kingdom";"Manx Telecom";"234";"58";"0.0095";"Dynamic Alphanumeric"
"United Kingdom";"O2 UK";"234";"10 2 11 78";"0.0085";"Dynamic Alphanumeric"
"United Kingdom";"Sky Mobile UK";"234";"57";"0.0075";"Dynamic Alphanumeric"
"United Kingdom";"Sure Mobile Guernsey";"234";"55";"0.0085";"Dynamic Alphanumeric"
"United Kingdom";"Three UK";"234";"20 94";"0.0140";"Random Numeric Sender"
"United Kingdom";"Virgin Mobile UK";"234";"38";"0.0095";"Random Numeric Sender"
"United Kingdom";"Vodafone UK";"234";"15 91";"0.0145";"Dynamic Alphanumeric"
"Uruguay";"Antel (Ancel)";"748";"1 0";"0.0230";"Random Numeric Sender"
"Uruguay";"Claro Uruguay (CTI Movil)";"748";"10";"0.0040";"Dynamic Alphanumeric"
"Uruguay";"Telefonica Movil Uruguay (Movistar)";"748";"7";"0.0070";"Shortcode Sender"
"USA";"Advantage Cellular";"310";"880";"0.0100";"Random Numeric Sender"
"USA";"Airadigm Communications";"310";"640";"0.0100";"Random Numeric Sender"
"USA";"Alaska Digitel";"310";"430";"0.0100";"Random Numeric Sender"
"USA";"All Operators (New Prefixes)";"310";"999";"0.0100";"Random Numeric Sender"
"USA";"Alltel Communications Inc";"310";"590 13 500";"0.0100";"Random Numeric Sender"
"USA";"AT&T Mobility (Dobson)";"310";"560";"0.0100";"Random Numeric Sender"
"USA";"AT&T Mobility USA";"310";"410 150 170 180 380 38 70 382 980 370";"0.0100";"Random Numeric Sender"
"USA";"Caprock Cellular";"310";"830";"0.0100";"Random Numeric Sender"
"USA";"Cellcom USA";"310";"600";"0.0100";"Random Numeric Sender"
"USA";"Cellular One of NE Arizona";"310";"320 390 570";"0.0100";"Random Numeric Sender"
"USA";"Centennial Wireless";"310";"30";"0.0100";"Random Numeric Sender"
"USA";"Choice Wireless";"310";"630";"0.0100";"Random Numeric Sender"
"USA";"Cincinnati Bell Wireless";"310";"420";"0.0100";"Random Numeric Sender"
"USA";"Corr Wireless Communications";"310";"80";"0.0100";"Random Numeric Sender"
"USA";"Cricket Communications";"310";"16 90";"0.0100";"Random Numeric Sender"
"USA";"Globalstar USA";"310";"970";"0.0100";"Random Numeric Sender"
"USA";"Iowa Wireless Services";"310";"770";"0.0100";"Random Numeric Sender"
"USA";"Keystone Wireless";"310";"690";"0.0100";"Random Numeric Sender"
"USA";"Mohave Wireless";"310";"350";"0.0100";"Random Numeric Sender"
"USA";"Oklahoma Western Telephone Company";"310";"540";"0.0100";"Random Numeric Sender"
"USA";"PTSI";"310";"760";"0.0100";"Random Numeric Sender"
"USA";"Sprint";"310";"120";"0.0100";"Random Numeric Sender"
"USA";"T-Mobile (SunCom)";"310";"490";"0.0100";"Random Numeric Sender"
"USA";"T-Mobile USA";"310";"260 160 200 210 220 230 240 250 270 280 290 300 310 330 660 800";"0.0100";"Random Numeric Sender"
"USA";"TMP Corporation";"310";"460";"0.0100";"Random Numeric Sender"
